Date,Fund,Benchmark
2003/8/21,186.8430983,120.7821886
2003/8/22,188.497721,121.3355315
2003/8/25,188.2391862,121.157613
2003/8/26,188.8079628,120.9552102
2003/8/27,190.6435599,121.542831
2003/8/28,191.1606295,121.8480674
2003/8/29,191.781113,121.3273701
2003/9/2,191.1864829,121.1184382
2003/9/3,190.7211203,121.6326064
2003/9/4,191.677699,122.7898929
2003/9/5,191.9620873,123.4787151
2003/9/8,194.4957283,122.2349177
2003/9/9,190.5659994,121.2506529
2003/9/10,188.0065049,120.1733481
2003/9/11,189.9972229,121.2784017
2003/9/12,191.3416038,120.942152
2003/9/15,191.9620873,121.280034
2003/9/16,195.1679188,121.075999
2003/9/17,198.0635086,121.9313137
2003/9/18,198.735699,121.3485897
2003/9/19,199.5371569,121.4693784
2003/9/22,199.0200873,120.5210238
2003/9/23,201.1659261,120.3382084
2003/9/24,206.6468638,121.6032254
2003/9/25,208.9219701,121.2245364
2003/9/26,206.6727173,121.1510838
2003/9/29,203.2342045,120.1619222
2003/9/30,201.8122631,119.7195743
2003/10/1,205.6902851,120.4034996
2003/10/2,205.9488199,120.3692217
2003/10/3,207.7068565,120.8213633
2003/10/6,208.5083144,121.2343301
2003/10/7,210.3697649,122.1843171
2003/10/8,213.8599847,123.991251
2003/10/9,217.4536184,127.221533
2003/10/10,217.4536184,128.9860277
2003/10/13,217.4019114,129.2341342
2003/10/14,216.7814279,127.7471272
2003/10/15,216.8331349,127.8417994
2003/10/16,217.272644,127.9903369
2003/10/17,217.7121532,127.489227
2003/10/20,217.5311788,127.5545182
2003/10/21,217.6604462,129.0007182
2003/10/22,220.1165268,131.4164926
2003/10/23,219.211655,131.3054975
2003/10/27,220.4784755,131.15696
2003/10/28,222.0813913,131.5030034
2003/10/29,221.1248125,132.2097806
2003/10/30,221.9779773,132.5574563
2003/10/31,222.2365121,133.3768608
2003/11/3,221.8745634,132.719052
2003/11/4,223.8652814,133.1924132
2003/11/5,225.675025,132.7843432
2003/11/6,224.1238162,132.0743014
2003/11/7,223.9686953,131.6890833
2003/11/10,222.3140726,130.7390964
2003/11/11,221.4350543,129.8119613
2003/11/12,220.4784755,129.0007182
2003/11/13,221.6160286,129.1933272
2003/11/14,220.8662777,129.314116
2003/11/17,217.918981,127.6361321
2003/11/18,216.9365488,127.6720423
2003/11/19,212.4121898,125.0244842
2003/11/20,212.257069,126.8624314
2003/11/21,214.0151056,128.0474667
2003/11/27,214.1702265,127.0517759
2003/11/28,215.7214352,127.2003134
2003/12/1,219.3409224,129.0415252
2003/12/2,219.0823876,130.2232959
2003/12/3,219.0306807,129.8592975
2003/12/4,217.6862997,128.9713372
2003/12/5,216.9624023,128.457169
2003/12/8,215.97997,127.9756464
2003/12/9,215.9541166,128.7003787
2003/12/10,216.3419188,129.6862758
2003/12/11,214.7648565,129.5377383
2003/12/12,215.1526587,129.2667798
2003/12/15,213.9892521,128.6252938
2003/12/16,212.5414572,127.6573518
2003/12/17,209.9819627,126.5229172
2003/12/18,207.3190543,125.1289501
2003/12/19,208.8444096,125.6447506
2003/12/22,208.4824609,126.550666
2003/12/23,208.1463657,126.9309872
2003/12/24,209.2839188,126.8885479
2003/12/26,210.4990323,127.3211021
2003/12/29,213.8341312,128.5910159
2003/12/30,214.8424169,129.3940977
2003/12/31,215.2043656,129.5932358
2004/1/2,214.8424169,128.7036432
2004/1/5,216.4970396,129.384304
2004/1/6,216.678014,128.5077697
2004/1/7,220.6077429,131.5225908
2004/1/8,225.5974645,132.7370071
2004/1/9,228.4930542,134.7316532
2004/1/12,228.2345195,134.4476365
2004/1/13,227.0452594,133.5890572
2004/1/14,225.5199041,133.1907809
2004/1/15,224.1238162,132.9981718
2004/1/16,225.2613693,133.401345
2004/1/19,226.3989224,133.6690389
2004/1/20,228.5706147,134.6075999
2004/1/26,229.5271934,135.1315618
2004/1/27,228.3637869,134.380713
2004/1/28,227.0969663,133.8224732
2004/1/29,226.8384315,133.3752285
2004/1/30,228.5189077,133.6739358
2004/2/4,226.2438015,131.3707887
2004/2/5,227.1228198,131.8180334
2004/2/6,227.7174499,133.0993732
2004/2/9,229.2686586,133.4862236
2004/2/10,228.2345195,132.5509271
2004/2/11,229.2686586,133.5564116
2004/2/12,230.5096257,134.7691956
2004/2/13,231.2593766,134.8116349
2004/2/16,233.7154572,135.1805302
2004/2/17,238.7051788,138.0582397
2004/2/18,239.9978527,139.9108775
2004/2/19,240.8251641,140.1573518
2004/2/20,242.0919846,140.6568295
2004/2/24,245.0651348,142.7951162
2004/2/25,245.6856183,142.3397101
2004/2/26,250.2358307,144.5122747
2004/2/27,249.1758381,143.516584
2004/3/1,250.3392447,143.9785192
2004/3/2,250.1324168,145.9992818
2004/3/3,246.3061018,143.1835989
2004/3/4,248.8655963,144.0209585
2004/3/5,251.0889956,144.6444894
2004/3/8,250.4943655,143.779381
2004/3/9,251.8904534,144.1237921
2004/3/10,251.4767978,142.9599765
2004/3/11,253.0280066,143.5688169
2004/3/12,253.3641018,144.3833246
2004/3/15,255.3548197,145.3202533
2004/3/16,254.0104388,144.5710368
2004/3/17,256.0270102,145.2957691
2004/3/18,257.7074864,147.1451423
2004/3/19,258.7157721,147.6315618
2004/3/22,258.7157721,148.36772
2004/3/23,257.578219,146.5575215
2004/3/24,257.3972446,146.1396579
2004/3/25,256.0787172,145.2957691
2004/3/26,256.1821311,146.1086446
2004/3/29,255.4065267,146.8366414
2004/3/30,253.751904,147.1533037
2004/3/31,253.3382483,147.207169
2004/4/1,253.05386,144.7962915
2004/4/2,255.0187245,144.8387307
2004/4/5,257.1645633,145.207626
2004/4/6,255.690915,144.3196657
2004/4/7,254.6050688,144.0225908
2004/4/8,255.5875011,144.3718987
2004/4/9,256.1045706,144.1450118
2004/4/12,256.0011567,143.6047271
2004/4/13,256.1045706,143.7010316
2004/4/14,252.5367904,141.4027814
2004/4/15,250.6236329,140.5703186
2004/4/16,251.166556,140.67152
2004/4/19,249.873882,139.6839906
2004/4/20,250.5977795,140.5931705
2004/4/21,250.8304608,141.0322539
2004/4/22,253.0280066,142.2744189
2004/4/23,254.0104388,142.9550797
2004/4/26,254.2948271,142.0279446
2004/4/27,253.2606879,141.7341342
2004/4/28,252.510937,140.6323453
2004/4/29,249.2016915,138.6980935
2004/4/30,248.2968198,136.8193393
2004/5/5,248.3743802,138.2018804
2004/5/6,247.4695084,137.5636589
2004/5/7,245.9182996,136.3557717
2004/5/10,238.1622557,132.7761818
2004/5/11,236.3266586,132.2407939
2004/5/12,239.1446879,133.6380256
2004/5/13,232.9915597,131.0900366
2004/5/14,232.1383949,129.5981327
2004/5/17,226.0369737,127.489227
2004/5/18,223.9169883,127.8515931
2004/5/19,227.510622,129.5752808
2004/5/20,224.6408858,128.7656699
2004/5/21,226.217948,129.1998564
2004/5/24,228.6740286,129.6666884
2004/5/25,229.7081678,130.0078349
2004/5/26,231.2852301,130.4599765
2004/5/27,233.1208271,132.4986942
2004/5/28,233.5603363,131.9600418
2004/5/31,232.5003436,132.3240402
2004/6/1,231.6988857,132.585205
2004/6/2,231.1559627,131.6205276
2004/6/3,228.7257356,130.3506137
2004/6/4,228.8808564,131.0427004
2004/6/7,230.7940139,133.1499739
2004/6/8,231.1559627,133.4209324
2004/6/9,231.4403509,133.5857926
2004/6/10,232.1383949,134.4851789
2004/6/11,232.3193693,134.5521024
2004/6/14,230.8715744,133.4568425
2004/6/15,230.6647466,132.2195743
2004/6/16,231.4920579,133.5466179
2004/6/17,232.2159553,134.0591538
2004/6/18,232.1383949,134.1619875
2004/6/21,230.7940139,134.7545051
2004/6/22,229.2428052,133.5972186
2004/6/23,229.5789004,134.1881039
2004/6/24,231.4403509,134.9569078
2004/6/25,230.6906,134.5374119
2004/6/28,230.2510909,134.2093236
2004/6/29,230.6388931,134.3823453
2004/6/30,230.9232813,133.8241055
2004/7/1,231.8540066,135.1691042
2004/7/2,232.6554645,135.5902324
2004/7/5,235.7837355,137.7007704
2004/7/6,237.6193326,139.0376077
2004/7/7,238.7568857,139.5729956
2004/7/8,237.6451861,139.0327109
2004/7/9,236.8178747,139.406503
2004/7/12,236.7403143,138.928245
2004/7/13,236.6369004,139.0408723
2004/7/14,235.5252007,137.9309219
2004/7/15,234.6978894,136.8829982
2004/7/16,235.9130029,137.5440716
2004/7/19,235.1891055,137.6256856
2004/7/20,234.2583802,136.8895273
2004/7/21,235.0081312,137.255158
2004/7/22,234.5427685,137.0086837
2004/7/23,234.3100872,136.817707
2004/7/26,233.6378967,136.8650431
2004/7/27,233.8188711,136.4830896
2004/7/28,233.9481385,136.8895273
2004/7/29,233.0691202,136.0505354
2004/7/30,236.5593399,136.1288848
2004/8/2,234.7597474,135.0695351
2004/8/3,233.8889768,134.7496083
2004/8/4,233.3665145,134.6435101
2004/8/5,233.0182063,134.5602638
2004/8/6,231.8571788,133.8632802
2004/8/9,230.173689,133.3262601
2004/8/10,230.6671257,133.9742753
2004/8/11,231.4508192,134.083638
2004/8/12,230.6090743,133.8224732
2004/8/13,229.0416873,133.1320188
2004/8/16,227.1550177,132.0710368
2004/8/17,227.038915,131.4817838
2004/8/18,226.6906067,132.1428571
2004/8/19,227.4452746,132.2391617
2004/8/20,227.5613773,131.9649386
2004/8/23,226.4293756,131.9877905
2004/8/24,226.5454783,131.3805824
2004/8/25,226.110093,131.8164011
2004/8/26,227.1840434,133.6070123
2004/8/27,227.590403,134.0901671
2004/8/30,229.15779,135.1495168
2004/9/1,229.2448671,135.214808
2004/9/2,232.4086669,137.4445025
2004/9/3,231.7120504,137.4216506
2004/9/6,231.0734853,136.9107469
2004/9/7,231.1895881,137.4853095
2004/9/8,234.4404649,138.7617524
2004/9/9,233.685797,138.2492165
2004/9/10,234.0921566,138.7911335
2004/9/13,236.3271345,139.9272003
2004/9/14,235.9788262,139.8390572
2004/9/15,235.2822098,139.272656
2004/9/16,236.0078519,140.0153434
2004/9/17,237.0818023,140.3205798
2004/9/20,239.1136003,141.2477148
2004/9/21,238.5330866,141.2134369
2004/9/22,236.8495968,139.7721337
2004/9/23,235.7466207,139.2155262
2004/9/24,236.0659033,139.6121703
2004/9/27,235.1080556,138.4630452
2004/9/28,235.1080556,138.0027422
2004/9/29,234.7597474,138.2084095
2004/9/30,235.2531841,138.7372682
2004/10/1,236.7915454,139.3852834
2004/10/4,240.5358589,141.2036432
